time,open,high,low,close,Kernel Regression Estimate,Buy,Sell,StopBuy,StopSell,🚫
1757304000,54421,54549,54404.4,54524.6,54317.3657380921,NaN,NaN,NaN,NaN,0
1757304900,54519,54529.6,54406,54411.8,54332.16746183623,NaN,NaN,NaN,NaN,0
1757305800,54414.8,54495.2,54414.8,54421,54346.115244881854,NaN,NaN,NaN,NaN,0
1757306700,54420,54462.6,54403,54405.2,54357.130948845435,NaN,NaN,NaN,NaN,0
1757307600,54411.2,54437.6,54360,54420,54367.883087473114,NaN,NaN,54437.6,NaN,0
1757308500,54425,54455,54371,54397.8,54375.142226600205,NaN,NaN,NaN,NaN,0
1757309400,54393,54495,54367.8,54495,54389.91267444854,NaN,NaN,NaN,NaN,0
1757310300,54491.6,54528.2,54472.2,54517.4,54405.445699814576,NaN,NaN,NaN,NaN,0
1757311200,54516.6,54567,54504,54560,54423.645545716194,NaN,NaN,NaN,NaN,0
1757312100,54566.2,54572,54495.8,54517.6,54436.79022440602,NaN,NaN,NaN,NaN,0
1757313000,54525,54575,54516.4,54544.6,54451.13309968293,NaN,NaN,NaN,NaN,0
1757313900,54555,54563.4,54505.8,54525,54462.44269831465,NaN,NaN,NaN,NaN,0
1757314800,54525,54600,54509,54585,54477.98258859442,NaN,NaN,NaN,NaN,0
1757315700,54585.8,54615,54575,54590,54492.77221127745,NaN,NaN,NaN,NaN,0
1757316600,54587.4,54625,54578,54616,54508.62969829666,NaN,NaN,NaN,NaN,0
1757317500,54618.6,54620,54540,54560,54518.03818414895,NaN,NaN,NaN,NaN,0
1757318400,54563.2,54586,54550,54563.6,54526.44971335858,NaN,NaN,NaN,NaN,0
1757319300,54555.2,54559.2,54491.2,54540.2,54531.46567576528,NaN,NaN,NaN,NaN,0
1757320200,54540,54575,54511,54555,54536.60895128346,NaN,NaN,NaN,NaN,0
1757321100,54563,54609.8,54562,54609,54545.82921988802,NaN,NaN,NaN,NaN,0
1757322000,54618.4,54786.6,54613.2,54745,54566.5199467678,54613.2,NaN,NaN,NaN,0
1757322900,54752.2,54752.2,54521.2,54581.4,54571.50656073915,NaN,NaN,NaN,NaN,0
1757323800,54580,54580,54460.8,54506,54568.55911842929,NaN,NaN,NaN,NaN,0
1757324700,54502,54525,54475,54501.4,54564.4953030226,NaN,NaN,NaN,NaN,0
1757325600,54502,54502,54502,54502,54559.90586554178,NaN,NaN,NaN,NaN,0
1757389500,54555,54700,54456,54480,54552.93154881743,NaN,NaN,54700,NaN,0
1757390400,54480,54510,54425,54500,54547.53233261323,NaN,NaN,NaN,NaN,0
1757391300,54500,54520,54477,54477,54539.92510788146,NaN,NaN,NaN,NaN,0
1757392200,54477,54480,54416.4,54430,54528.39240569628,NaN,NaN,NaN,NaN,0
1757393100,54437,54449,54390,54433,54517.48193137085,NaN,NaN,NaN,NaN,0
1757394000,54424,54465,54400,54439.8,54507.748151272834,NaN,NaN,NaN,NaN,0
1757394900,54438.4,54470,54405.2,54462,54500.68200765085,NaN,NaN,NaN,NaN,0
1757395800,54473.4,54480,54431.4,54465.4,54494.68986940447,NaN,NaN,NaN,NaN,0
1757396700,54461.2,54475.8,54431,54445,54487.46404571852,NaN,NaN,NaN,NaN,0
1757397600,54431,54458.6,54415,54458.6,54482.222492800895,NaN,NaN,NaN,NaN,0
1757398500,54450,54451.2,54406,54430,54475.072193659806,NaN,NaN,NaN,NaN,0
1757399400,54430,54430,54332.6,54389,54464.96447195649,NaN,54430,NaN,NaN,0
1757400300,54375.4,54444.6,54370.4,54401.8,54456.70727465109,NaN,NaN,NaN,NaN,0
1757401200,54385.6,54430.4,54385.6,54419.8,54450.851909203266,NaN,NaN,NaN,NaN,0
1757402100,54413.4,54441,54375,54410,54444.73855482454,NaN,NaN,NaN,NaN,0
1757403000,54411.8,54435,54385.2,54421.4,54440.34986378125,NaN,NaN,NaN,NaN,0
1757403900,54422.2,54464.4,54415,54438.6,54438.14372728926,NaN,NaN,NaN,54415,0
1757404800,54453,54462,54425,54427,54435.53099245621,NaN,NaN,NaN,NaN,0
1757405700,54441.8,54450,54415.2,54430,54433.67495468333,NaN,NaN,NaN,NaN,0
1757406600,54432.8,54475,54410.2,54475,54436.370849873114,NaN,NaN,NaN,NaN,0
1757407500,54474,54497.6,54420.6,54488,54440.547151309205,NaN,NaN,NaN,NaN,0
1757408400,54490,54510,54421,54441.2,54440.57319263126,NaN,NaN,NaN,NaN,0
1757409300,54450,54489,54432.6,54460,54442.24398663827,NaN,NaN,NaN,NaN,0
1757410200,54460.2,54475,54441.2,54460,54444.183880595134,NaN,NaN,NaN,NaN,0
1757411100,54460.2,54482,54450,54479.8,54447.970481299286,NaN,NaN,NaN,NaN,0
1757412000,54479,54479,54479,54479,54451.555940382466,NaN,NaN,NaN,NaN,0
1757475900,54730,54802,54570.6,54690,54474.188247930426,54570.6,NaN,NaN,NaN,0
1757476800,54690,54733,54660,54730,54500.11328119162,NaN,NaN,NaN,NaN,0
1757477700,54730,54738.4,54670,54708.8,54523.345388538226,NaN,NaN,NaN,NaN,0
1757478600,54709,54720.8,54685,54713.2,54545.95393159839,NaN,NaN,NaN,NaN,0
1757479500,54713.2,54895,54712.8,54885.2,54582.98055077133,NaN,NaN,NaN,NaN,0
1757480400,54885.2,54948,54825,54825.6,54612.90535102057,NaN,NaN,54948,NaN,0
1757481300,54830,54876.2,54812,54855,54643.5030587818,NaN,NaN,NaN,NaN,0
1757482200,54865,54898.4,54850,54855,54671.839689773085,NaN,NaN,NaN,NaN,0
1757483100,54865.4,54880,54788.8,54800,54692.754822377894,NaN,NaN,NaN,NaN,0
1757484000,54808.6,54850,54785,54825,54713.517879528205,NaN,NaN,NaN,NaN,0
1757484900,54821.4,54840,54787,54822.6,54731.62380913788,NaN,NaN,NaN,NaN,0
1757485800,54825,54849,54804.2,54833,54748.38428903031,NaN,NaN,NaN,NaN,0
1757486700,54833.8,54859.4,54813.8,54840.4,54763.664912582346,NaN,NaN,NaN,NaN,0
