time,direction,price,match_entry_time,match_entry_price,time_diff_minutes,status,entry_time,exit_time,entry_price,exit_price,pnl_pct,bars_held,exit_reason,max_favorable_pct,max_adverse_pct,dir_num,sys_entry_price,sys_exit_price,sys_pnl_pct,tv_entry_price,tv_exit_price,tv_pnl_pct,pnl_diff_pct
2025-07-11 09:15:00+05:30,SHORT,57208.6,2025-07-11 10:00:00+05:30,57031.53333333333,45.0,late,2025-07-11 10:00:00+05:30,2025-07-11 11:00:00+05:30,57031.53333333333,56890.0,0.2481668036279336,4,4_bars,0.2737666764468278,0.0,-1,57031.53333333333,56890.0,0.24816680362793364,57208.6,56890.0,0.5569092758780998,0.30874247225016616
2025-07-18 11:00:00+05:30,SHORT,56457.0,2025-07-18 15:15:00+05:30,56393.80000000001,255.0,late,2025-07-18 15:15:00+05:30,2025-07-21 10:00:00+05:30,56393.80000000001,56773.0,-0.6724143434207125,4,4_bars,0.0592263688561663,0.6724143434207125,-1,56393.80000000001,56773.0,-0.6724143434207125,56457.0,56773.0,-0.5597180154808085,0.11269632793990403
2025-07-21 09:45:00+05:30,LONG,56744.8,2025-07-21 12:45:00+05:30,56936.66666666666,180.0,late,2025-07-21 12:45:00+05:30,2025-07-21 13:45:00+05:30,56936.66666666666,56845.6,-0.1599437972015673,4,4_bars,0.1024530179731908,0.1599437972015673,1,56936.66666666666,56845.6,-0.15994379720155452,56744.8,56845.6,0.17763742228362006,0.3375812194851746
2025-07-23 14:45:00+05:30,LONG,57235.0,2025-07-23 12:15:00+05:30,57056.66666666666,-150.0,early,2025-07-23 12:15:00+05:30,2025-07-23 13:15:00+05:30,57056.66666666666,57158.0,0.1776012151662133,4,4_bars,0.1776012151662133,0.0,1,57056.66666666666,57158.0,0.17760121516622607,57235.0,57158.0,-0.1345330654319909,-0.31213428059821696
2025-07-24 09:45:00+05:30,SHORT,57106.2,2025-07-24 12:00:00+05:30,56974.4,135.0,late,2025-07-24 12:00:00+05:30,2025-07-24 13:00:00+05:30,56974.4,56992.0,-0.0308910668651158,4,4_bars,0.0361565896262155,0.0800359459687132,-1,56974.4,56992.0,-0.03089106686511581,57106.2,56992.0,0.19997828607050916,0.23086935293562497
2025-07-28 10:15:00+05:30,LONG,56650.0,2025-07-29 13:00:00+05:30,56134.66666666666,1605.0,late,2025-07-29 13:00:00+05:30,2025-07-29 14:00:00+05:30,56134.66666666666,56357.8,0.3974964965202822,4,4_bars,0.3974964965202822,0.0,1,56134.66666666666,56357.8,0.39749649652029523,56650.0,56357.8,-0.5157987643424485,-0.9132952608627438
2025-07-29 09:15:00+05:30,SHORT,56157.6,2025-07-29 10:15:00+05:30,56052.06666666667,60.0,late,2025-07-29 10:15:00+05:30,2025-07-29 11:15:00+05:30,56052.06666666667,56094.2,-0.075168206703037,4,4_bars,0.0750492696671421,0.075168206703037,-1,56052.06666666667,56094.2,-0.07516820670303702,56157.6,56094.2,0.11289656253116491,0.18806476923420193
2025-08-06 13:30:00+05:30,LONG,55701.0,2025-08-12 09:45:00+05:30,55639.26666666666,8415.0,late,2025-08-12 09:45:00+05:30,2025-08-12 10:45:00+05:30,55639.26666666666,55422.6,-0.3894132321418044,4,4_bars,0.0,0.3894132321418044,1,55639.26666666666,55422.6,-0.3894132321418044,55701.0,55422.6,-0.4998114935099935,-0.11039826136818909
2025-08-07 14:15:00+05:30,LONG,55435.0,2025-08-12 09:45:00+05:30,55639.26666666666,6930.0,late,2025-08-12 09:45:00+05:30,2025-08-12 10:45:00+05:30,55639.26666666666,55422.6,-0.3894132321418044,4,4_bars,0.0,0.3894132321418044,1,55639.26666666666,55422.6,-0.3894132321418044,55435.0,55422.6,-0.022368539731219363,0.367044692410585
2025-08-11 14:30:00+05:30,LONG,55510.0,2025-08-12 09:45:00+05:30,55639.26666666666,1155.0,late,2025-08-12 09:45:00+05:30,2025-08-12 10:45:00+05:30,55639.26666666666,55422.6,-0.3894132321418044,4,4_bars,0.0,0.3894132321418044,1,55639.26666666666,55422.6,-0.3894132321418044,55510.0,55422.6,-0.15744910826878303,0.23196412387302137
