2025-11-17 00:59:46 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=SHORT | candle_id=1970-01-01 00:00:01_15min
2025-11-17 01:01:49 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=SHORT | candle_id=1970-01-01 00:00:01_15min
2025-11-17 01:03:52 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=SHORT | candle_id=1970-01-01 00:00:01_15min
2025-11-17 01:05:54 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=SHORT | candle_id=1970-01-01 00:00:01_15min
2025-11-17 01:07:57 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
2025-11-17 01:10:00 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
2025-11-17 01:12:02 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
2025-11-17 01:14:05 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
2025-11-17 01:16:08 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
2025-11-17 01:18:10 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=SHORT | candle_id=1970-01-01 00:00:01_15min
2025-11-17 01:20:13 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=SHORT | candle_id=1970-01-01 00:00:01_15min
2025-11-17 01:22:16 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
2025-11-17 01:24:18 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
2025-11-17 01:26:21 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=SHORT | candle_id=1970-01-01 00:00:01_15min
2025-11-17 01:28:24 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
2025-11-17 01:30:27 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=SHORT | candle_id=1970-01-01 00:00:01_15min
2025-11-17 01:32:30 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=SHORT | candle_id=1970-01-01 00:00:01_15min
2025-11-17 01:34:33 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=SHORT | candle_id=1970-01-01 00:00:01_15min
2025-11-17 01:36:36 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
2025-11-17 01:38:38 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
2025-11-17 01:40:41 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
2025-11-17 01:42:44 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=SHORT | candle_id=1970-01-01 00:00:01_15min
2025-11-17 01:44:47 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
